"username","Benutzername"
"password","Passwort"
"list_id","Abonnenten Liste"
"optin_setup_id_new","Optin-Setup (Neuanmeldung)"
"optin_setup_id_customer","Optin-Setup (Kunde)"
"optout_setup_id","Optout-Setup"
"field_mapping","Feldzuordnung"
"subscriberdata","Abonnentendaten"
"customerdata","Kundendaten"
"billingaddress","Rechnungsanschrift"
"shippingaddress","Lieferanschrift"
"orderdata","Bestelldaten"
"email","E-Mail"
"is_customer","ist Kunde"
"store_id","Store ID"
"prefix","Anrede"
"firstname","Vorname"
"lastname","Nachname"
"last_login_at","letzter Login"
"group","Kundengruppe"
"company","Firma"
"street","Straße"
"postcode","PLZ"
"city","Ort"
"country","Land"
"telephone","Telefon"
"count_orders","Anzahl Bestellungen"
"last_order_at","Datum letzte Bestellung"
"last_order_amount","Wert letzte Bestellung"
"all_order_amount","Gesamtwert aller Bestellungen"
"average_order_amount","durchschnittlicher Bestellwert"
"last_abandoned_cart","Datum letzter Warenkorbabbruch"
"mailingwork_initial_import_headline","Mailingwork Initialimport (übertragen der Kundendaten nach Mailingwork)"
"mailingwork_list_initial_import","Mailingwork Abonnentenliste für Initialimport"
"mailingwork_initial_import_descr","Nach Klick auf den Button werden die Daten der Newsletterabonennten initial nach Mailingwork übertragen. Dies kann je nach Datenbestand etwas länger dauern. Der Abgleich erfolgt an Hand der E-Mailadresse, es können hierbei ggf. Daten in Mailngwork überschrieben werden!"